Product_Name,Total_Price
Performance Electric Model,6.842400029E7
Passenger Wagon,6.162752156999999E7
Chassis Cab,7.604723603E7
Station Wagon,6.398005613E7
High-Speed Performance SUV,7.510183930999999E7
Full-Size Sedan,8.046957055999997E7
Cargo Van,6.106029672E7
Vehicle Insurance Plans,7.353231347E7
Lease Agreements,6.512701795E7
Luxury Hybrid Coupe,6.779876817999999E7
Midsize Hybrid SUV,6.42914858E7
Oil Change and Lubrication Service,4.9045154379999995E7
Trade-In Bonus Offer,8.544007649E7
Brake Inspection and Replacement,7.071992572E7
Electric Commercial Van,6.936520647E7
Extended Warranty Coverage,6.133232823E7
Engine Diagnostic and Repair,5.703972239E7
Exclusive Accessory Bundle Deal,6.797119324999999E7
Box Truck,4.4008151919999994E7
Vehicle Navigation Systems,8.091485405999999E7
Midsize SUV,6.808026222E7
Custom Alloy Wheels,5.24031078E7
Tire Rotation and Alignment,7.867992417E7
Heavy-Duty Pickup Truck,7.784287213E7
Track-Focused Sports Car,6.072077882999999E7
Full-Size Hybrid Pickup Truck,8.298033481E7
Small Hatchback,4.140949594E7
Electric Luxury Sedan,6.873211917E7
Electric Sports Car,6.741775447999999E7
Compact Sedan,5.109066678E7
Financing Rate Promotion,6.598723589E7
Battery Check and Replacement,7.732581169E7
Luxury Performance Sedan,6.0416791400000006E7
Compact Hybrid Sedan,5.869356417000001E7
All-Electric Compact Car,6.739055235E7
Limited-Time Discount on New Models,4.921723211E7
Electric Crossover SUV,7.008116882000001E7
New Vehicle Loan,7.293245775E7
Car Audio and Entertainment Systems,8.060210861999999E7
Seasonal Service Package Discount,5.6723337010000005E7
All-Weather Floor Mats,6.4829043580000006E7
Hybrid Hatchback,5.764898079000001E7
Roof Racks and Carriers,7.087315879E7
Used Vehicle Financing,6.0742672930000015E7
High-Performance Sports Coupe,6.826507342E7
